,评论
0,鞋子质量太好了，是真品花花公子。谢谢卖家还送了袜子，手表，皮带。皮面也好，里面绒也厚，现在冬天来了，穿着好暖和。
1,很满意的一次购物，码数标准，穿上去很舒服，一天下来脚也没有异味，老公很满意，现在穿很暖和，而且还送了赠品，很满意的一次购物，下次再来。
2,鞋子收到，老爸很喜欢，码子正规，走路不磨脚，卖家很贴心还送了小礼物，已经是第二次购买了，满意的一次购物
3,鞋子号码特别准，而且舒服不磨脚，老公很喜欢，不错，以后就在你家买鞋啦
4,鞋子质量很好，又舒服又保暖，款式简单百搭，尺码也很标准，价格实惠，这个价格在实体店是买不来的，真心的很好，太值了。
5,鞋子收到，发货快，老公穿了说舒服，皮质软，码子正规，比实体店便宜很多，准备再买一双给老爸
6,宝贝收到了，鞋子很舒适，版型也是想要的那种，穿上有范儿，面儿也也挺好，很喜欢，值得入手，祝卖家生意兴隆
7,快过年了，一次买了两双，到货立马上脚穿了一双新鞋，鞋子是商务休闲款，好搭配衣服裤子，正常鞋码，舒适好穿，鞋底还算柔软，皮面好打理，还有礼品赠送，看来店家是薄利多销了。
8,非常好，质量更棒，穿着特别舒服，不板脚！想买的就快下手吧
9,发货速度那是杠杠的，非常快，鞋子也非常好，码数很正，两双换着穿，一个冬天都不用为穿什么鞋子而烦恼了，鞋子穿起来很暖和，穿了一天也没说很臭很臭的，不臭脚而且还很暖和，穿了一天也没觉得哪里不舒服，特别喜欢，给个赞，下次还会再来
10,宝贝是真品，牛皮的，橡胶底、防滑，柔软，做工牢固、穿起来很帅气。
11,不错 不错 不错的 真的还不错的 卖家发货速度快 快递送货速度也快 价格便宜 这么便宜的价格不管是不是正品也值了 看你怎么看待 反正我是清楚一分钱一分货的道理的
12,这款加绒内增高花花公子皮鞋价钱不贵，质量不错，号码标准，他穿上很合脚，喜欢、好评
13,正品牌的鞋子穿着就是舒服哈?看到有专享价格就果断入手，穿着好还是正品价格也比实体店便宜何乐而不为呢?继续支持花花公子?
14,鞋子穿上很舒服，皮质柔软，查了一下上正品，这可比实体店购买的便宜多了！质量还好的没话说
15,已经是第二次购买啦，上次买回去之后，老公很喜欢，出去和老板吃饭和客户谈事情，都会穿着它，体面。而且很好打理。马上就要快过年啦，这次买了两双送给父亲，就当过节的礼物啦。
16,鞋子收到了，包装完好无损，鞋质量非常好的，大小正合适穿着很舒服的，价格还便宜！
17,鞋子不错噢，尺码正，鞋子漂亮，皮子光滑亮，穿着有型，走路也舒服，好评。
18,鞋子收到了，质量挺好的！是真皮的正品，做工很细包装也很用心 ，没有异味，加绒的穿上脚暖暖的好舒服.尺码很标准大小也合适，物流很快.以后还会继续购买的.
19,鞋子已经收到了，质量非常好是正品，穿上很合脚鞋码很标准，穿着还暖和。好评！好评。
